nm,eV,C1_S20,C2_S71,C3_S146
699,1.7739629,3392.8301,-273.62912,-110.37765
700,1.7714286,3396.0156,-191.51637,11.397594
701,1.7689016,3364.7998,-133.69128,-25.285671
702,1.7663817,3265.0042,-131.82378,-156.95486
703,1.7638692,3117.3396,-166.67206,-295.89444
704,1.7613636,2979.0986,-202.06445,-403.73016
705,1.7588652,2910.7988,-231.38361,-485.7735
706,1.7563739,2936.3979,-291.80505,-574.66406
707,1.7538897,2994.7192,-431.47528,-721.88818
708,1.7514124,2986.97,-633.64868,-930.06738
709,1.7489421,2904.3345,-791.64783,-1093.0554
710,1.7464789,2838.7266,-808.60095,-1083.0161
711,1.7440225,2857.4465,-704.78894,-895.80383
712,1.741573,2939.7195,-586.51312,-649.86499
713,1.7391304,3025.4585,-538.1366,-462.34882
714,1.7366947,3065.1211,-565.31805,-373.26562
715,1.7342657,3045.1726,-597.32434,-361.23224
716,1.7318436,3008.3325,-531.37189,-380.91931
717,1.7294282,3031.0034,-318.61862,-379.00977
718,1.7270195,3156.0664,-19.53546,-306.996
719,1.7246175,3344.8779,242.63684,-155.73245
720,1.7222222,3496.1216,375.03528,19.319843
721,1.7198336,3524.2686,352.7146,129.33102
722,1.7174516,3428.1846,196.20636,114.17164
723,1.7150761,3277.0063,-47.02586,-26.264534
724,1.7127072,3147.9551,-300.17383,-231.41963
725,1.7103448,3097.1982,-471.78165,-394.97729
726,1.707989,3143.5293,-503.06873,-434.22412
727,1.7056396,3237.0522,-401.0741,-375.42453
728,1.7032967,3292.4756,-214.99603,-312.48029
729,1.7009603,3285.3052,4.5479174,-279.51022
730,1.6986301,3258.6343,209.98196,-250.81567
731,1.6963065,3233.812,352.32269,-236.02811
732,1.693989,3192.5835,404.8855,-260.28326
733,1.691678,3135.7231,379.11328,-292.83307
734,1.6893733,3087.7324,294.9136,-307.54883
735,1.6870748,3062.8081,150.69754,-359.40381
736,1.6847826,3065.4629,-41.239307,-487.78616
737,1.6824967,3095.0105,-200.30185,-593.32355
738,1.6802168,3136.541,-226.57721,-533.29858
739,1.6779431,3177.7151,-126.15562,-323.00363
740,1.6756756,3232.4958,-19.53207,-134.64233
741,1.6734143,3323.3586,7.6070924,-87.576385
742,1.671159,3443.8662,1.3025141,-123.65225
743,1.6689098,3554.6035,54.648247,-118.75497
744,1.6666666,3621.0081,173.27252,-49.995461
745,1.6644295,3656.3911,266.1485,11.018393
746,1.6621984,3716.301,260.75751,30.378252
747,1.6599733,3831.8167,189.75394,50.720177
748,1.6577541,3953.124,139.43646,108.85368
749,1.6555407,3974.3716,138.67795,187.36661
750,1.6533333,3810.8267,136.13651,234.44623
751,1.6511319,3459.106,72.712479,182.06216
752,1.6489362,3025.4077,-54.855507,-9.1528416
753,1.6467464,2710.4429,-186.58205,-267.02731
754,1.6445624,2693.3652,-231.25183,-422.0592
755,1.6423841,2950.4307,-143.66258,-371.11682
756,1.6402116,3227.3999,-1.6498775,-199.82732
757,1.638045,3284.5928,57.027267,-82.113976
758,1.6358839,3153.7939,9.1912613,-78.531624
759,1.6337286,3073.2656,-33.851547,-113.4353
760,1.6315789,3179.8582,-16.014416,-142.03357
761,1.6294349,3345.0989,-35.86993,-226.72702
762,1.6272966,3352.3364,-203.24054,-407.69684
763,1.6251638,3189.0325,-478.79303,-582.052
764,1.6230366,3067.2163,-712.01147,-583.73816
765,1.6209151,3141.7852,-792.01062,-377.69891
766,1.618799,3325.8628,-713.8064,-132.49062
767,1.6166884,3426.3118,-533.39673,-66.145096
768,1.6145834,3352.1543,-319.46649,-228.37299
769,1.6124837,3151.1396,-140.40724,-469.83981
770,1.6103896,2930.1943,-45.375736,-616.40814
771,1.6083009,2787.4111,-28.83445,-620.74036
772,1.6062176,2784.1211,-26.577831,-547.18127
773,1.6041397,2924.9849,14.302889,-479.44116
774,1.6020672,3141.6431,61.168839,-459.91229
775,1.6,3329.3955,42.148289,-466.06516
776,1.5979382,3427.1558,-38.92527,-437.1467
777,1.5958816,3445.6353,-108.68338,-357.97775
778,1.5938303,3419.7251,-149.17276,-300.1842
779,1.5917844,3364.0142,-227.67464,-345.336
780,1.5897436,3286.1172,-366.78305,-486.48688
781,1.5877081,3227.5161,-460.14322,-625.91992
782,1.5856777,3249.9316,-388.2746,-654.16138
783,1.5836526,3349.2676,-182.97397,-539.37097
784,1.5816326,3421.7065,4.1816711,-355.73856
785,1.5796179,3368.46,84.153076,-210.88855
786,1.5776081,3209.0525,94.322433,-153.8252
787,1.5756036,3051.3516,89.473587,-167.27696
788,1.5736041,2979.905,75.839279,-214.71906
789,1.5716096,3003.9124,66.129204,-275.28656
790,1.5696203,3071.564,96.375244,-353.51855
791,1.5676359,3097.0503,158.03772,-452.89999
792,1.5656565,3018.0903,190.62698,-537.64709
793,1.5636822,2869.145,161.74501,-545.91443
794,1.5617129,2762.9639,97.472862,-441.77289
795,1.5597484,2777.4263,31.779547,-240.4924
796,1.557789,2896.207,-30.12043,0.62503242
797,1.5558344,3052.4778,-107.87831,199.12445
798,1.5538847,3171.5322,-231.17282,272.07251
799,1.55194,3189.1658,-403.41245,179.05679
800,1.55,3102.9785,-565.44476,-38.22221
801,1.5480649,2987.4568,-630.84338,-274.04346
802,1.5461347,2904.5381,-574.42029,-448.00613
803,1.5442092,2843.7339,-472.17157,-573.72424
804,1.5422885,2780.8762,-451.41327,-708.44031
805,1.5403727,2722.5879,-581.84308,-854.09155
806,1.5384616,2672.3044,-786.66663,-956.85126
807,1.5365552,2627.0176,-889.30786,-975.10205
808,1.5346534,2619.4082,-781.71381,-904.18488
809,1.5327564,2699.4155,-523.0376,-783.01947
810,1.5308642,2864.3428,-267.94955,-697.86255
811,1.5289766,3052.1523,-133.70898,-711.18787
812,1.5270936,3201.3672,-134.3036,-786.8241
813,1.5252153,3278.1001,-211.83473,-848.73364
814,1.5233415,3259.8604,-306.98248,-881.10529
815,1.5214723,3153.2678,-369.13681,-906.2655
816,1.5196079,3036.8101,-321.02258,-906.58923
817,1.5177479,3020.3547,-112.34152,-828.82971
818,1.5158924,3128.1526,173.61075,-640.89197
819,1.5140415,3281.4434,378.26569,-360.1106
820,1.5121951,3413.0049,455.60071,-59.188538
821,1.5103532,3513.6021,479.00055,143.42926
822,1.5085158,3564.2095,455.88672,142.38318
823,1.5066829,3527.4814,303.44705,-60.653183
824,1.5048543,3422.3198,43.510685,-323.49493
825,1.5030303,3343.2744,-143.8855,-474.20947
826,1.5012107,3394.6057,-115.52707,-470.23633
827,1.4993954,3612.3125,104.21326,-383.80124
828,1.4975846,3924.0842,394.54608,-242.62158
829,1.4957781,4179.4482,628.04724,-17.926096
830,1.4939759,4256.2695,714.43799,230.80084
831,1.4921781,4165.291,664.48065,367.10797
832,1.4903846,4041.2205,583.27551,357.49005
833,1.4885955,4004.1667,527.65027,299.19348
834,1.4868106,4021.9531,427.71329,257.70715
835,1.4850299,3951.75,228.7095,210.10193
836,1.4832536,3741.8162,45.607452,167.15512
837,1.4814814,3512.1362,53.554424,209.04227
838,1.4797136,3378.936,239.14763,337.83514
839,1.47795,3306.5667,394.26105,418.77289
840,1.4761904,3227.0674,387.8576,352.23206
841,1.4744352,3196.7354,318.61041,202.10501
842,1.4726841,3304.197,343.70197,81.022629
843,1.4709371,3494.9907,469.01508,10.845821
844,1.4691943,3612.3994,571.45935,-32.800442
845,1.4674556,3578.821,545.44446,-31.100458
846,1.465721,3457.1709,388.27539,47.03849
847,1.4639906,3365.0703,200.27112,176.5896
848,1.4622642,3373.0649,107.58031,293.50647
849,1.4605418,3457.5188,144.47375,370.55859
850,1.4588236,3533.8828,222.7946,448.68362
851,1.4571093,3545.8704,229.65443,562.29749
852,1.455399,3511.4387,128.32997,645.70868
853,1.4536928,3483.8042,-29.673409,592.75354
854,1.4519906,3497.0239,-147.63177,424.5235
855,1.4502923,3549.6128,-134.29404,305.87167
856,1.4485981,3610.0269,42.202568,359.47769
857,1.4469078,3634.1606,316.74512,527.8595
858,1.4452214,3604.376,560.48004,647.323
859,1.443539,3547.0762,677.20032,611.36053
860,1.4418604,3486.5007,658.20605,437.0004
861,1.4401858,3409.3428,547.46582,211.92485
862,1.4385151,3308.1729,394.35254,17.248501
863,1.4368482,3223.0515,249.84985,-105.89996
864,1.4351852,3213.5864,169.50684,-150.45744
865,1.433526,3313.6394,183.02301,-139.90767
866,1.4318707,3505.3936,255.22498,-128.73509
867,1.4302192,3711.2908,308.08582,-166.74313
868,1.4285715,3831.0815,305.32071,-250.22008
869,1.4269274,3816.6084,284.21014,-324.57513
870,1.4252874,3724.8403,293.75128,-319.01373
871,1.423651,3701.8904,356.35452,-167.31075
872,1.4220183,3861.7358,479.36835,145.03183
873,1.4203894,4124.3389,622.94763,506.38324
874,1.4187644,4241.2607,682.97058,717.54376
875,1.4171429,4067.7461,595.12512,680.07471
876,1.4155251,3748.7043,430.20447,502.08981
877,1.4139111,3559.7617,326.0014,355.88571
878,1.4123007,3620.6194,354.18011,284.79828
879,1.410694,3820.823,479.14117,220.32593
880,1.4090909,3979.3279,614.4491,141.72089
881,1.4074914,4021.7515,704.34863,124.48521
882,1.4058957,4006.7573,757.48138,226.15611
883,1.4043036,4016.2756,804.82898,395.34195
884,1.402715,4055.0796,846.76819,524.61761
885,1.40113,4065.3496,859.74548,554.34497
886,1.3995485,4018.2297,836.20898,503.00964
887,1.3979707,3960.8491,793.17505,425.10712
888,1.3963964,3953.5884,745.34552,361.89886
889,1.3948257,3981.6685,694.71594,327.47076
890,1.3932585,3973.1411,653.47974,323.71991
891,1.3916948,3897.2949,644.55554,344.60593
892,1.3901346,3799.3115,662.88574,368.4751
893,1.3885778,3740.6633,671.64343,376.61554
894,1.3870246,3740.313,650.18976,377.42767
895,1.3854748,3769.3306,609.84387,385.50623
896,1.3839285,3782.0527,562.69995,393.92917
897,1.3823857,3758.9348,517.86285,398.388
898,1.3808464,3721.8916,505.11795,420.70471
899,1.3793104,3697.6736,556.40479,470.60336
900,1.3777778,3685.0728,655.90948,510.09589
901,1.3762486,3677.4077,742.50806,491.53406
902,1.3747228,3679.335,774.34766,417.76779
903,1.3732004,3671.3149,766.94019,345.16925
904,1.3716815,3602.1289,753.27228,326.35614
905,1.3701657,3447.6218,726.87354,344.31097
906,1.3686534,3244.4482,650.86816,312.56555
907,1.3671445,3063.7017,520.87085,169.41673
908,1.3656387,2981.1853,387.4534,-39.062126
909,1.3641365,3043.0278,299.14813,-204.44354
910,1.3626374,3213.2764,253.89638,-260.51038
911,1.3611416,3378.8879,234.84369,-203.56485
912,1.3596492,3446.2202,259.83273,-50.63327
913,1.3581599,3419.0591,353.07306,159.27663
914,1.356674,3360.7485,484.55328,343.34161
915,1.3551912,3307.3481,573.18774,414.36166
916,1.3537118,3253.6692,556.65222,354.00116
917,1.3522356,3203.4202,449.22437,229.40707
918,1.3507625,3185.7437,326.50671,134.87175
919,1.3492928,3222.4241,261.48669,121.75833
920,1.3478261,3309.0972,282.6575,178.73297
921,1.3463626,3424.3484,376.53992,260.31378
922,1.3449024,3530.8699,502.67859,320.20746
923,1.3434453,3575.3459,602.92651,332.5484
924,1.3419913,3522.894,621.46185,302.79044
925,1.3405405,3404.8896,542.70117,252.61893
926,1.3390929,3309.4072,413.87854,193.54039
927,1.3376483,3300.0469,318.09143,134.56169
928,1.3362069,3355.4812,316.53879,104.19075
929,1.3347685,3414.4546,412.60907,126.76733
930,1.3333334,3467.9355,564.63416,181.71786
931,1.3319012,3567.8467,723.56506,225.19218
932,1.3304721,3732.2673,848.56085,246.41911
933,1.3290461,3872.6853,897.31104,265.40759
934,1.3276231,3865.0005,846.62122,294.26956
935,1.3262032,3705.0264,743.09894,341.78595
936,1.3247863,3547.1323,687.09113,417.24634
937,1.3233725,3555.3845,730.69531,480.74332
938,1.3219616,3733.9976,812.74463,445.40414
939,1.3205538,3915.3142,802.88464,287.6402
940,1.3191489,3901.8174,597.87366,96.765549
941,1.3177471,3631.8455,209.69054,-33.616371
942,1.3163482,3242.4912,-195.63303,-91.746819
943,1.3149523,2976.5295,-382.1604,-91.615265
944,1.3135593,2994.4224,-239.50433,-30.513636
945,1.3121693,3255.564,111.73407,64.107323
946,1.3107822,3576.0581,455.97852,156.1924
947,1.3093981,3773.1416,688.1814,278.85245
948,1.3080169,3755.7827,825.30664,465.4577
949,1.3066386,3551.4341,877.36841,633.58685
950,1.3052632,3284.8862,817.28076,674.79858
951,1.3038906,3078.8149,656.86206,597.45105
952,1.302521,2948.9146,458.95782,465.78824
953,1.3011543,2837.7104,282.84277,299.40894
954,1.2997904,2747.4639,177.73126,125.60336
955,1.2984294,2760.4612,192.23679,13.840018
956,1.2970711,2897.1628,312.98901,-24.071194
957,1.2957158,3039.5337,419.2243,-76.324234
958,1.2943633,3071.2627,385.00992,-205.61029
959,1.2930136,3042.5029,241.53705,-337.01685
960,1.2916666,3114.8328,173.01895,-328.86508
961,1.2903225,3360.9907,314.51614,-133.05521
962,1.2889813,3675.9634,600.79474,156.37695
963,1.2876428,3890.7649,858.2193,404.13531
964,1.2863071,3943.2822,991.80811,545.8302
965,1.2849741,3907.1587,1016.0568,594.50964
966,1.2836438,3860.7222,955.15186,571.17468
967,1.2823164,3791.9321,812.72943,468.75864
968,1.2809918,3663.9409,633.47076,289.66684
969,1.2796698,3509.9424,515.64795,89.588287
970,1.2783505,3408.7739,532.33417,-41.328682
971,1.277034,3398.8015,654.02075,-44.881393
972,1.2757201,3452.0591,761.84583,59.134647
973,1.2744091,3517.7437,752.37463,188.23401
974,1.2731006,3567.3628,628.50903,255.40353
975,1.2717949,3599.9688,479.83295,227.76318
976,1.2704918,3625.7932,404.69174,154.49222
977,1.2691914,3653.5354,461.9502,137.3033
978,1.2678937,3678.6646,639.36224,241.59096
979,1.2665986,3687.3103,842.57056,420.61169
980,1.2653061,3684.3909,961.61627,548.65289
981,1.2640163,3691.676,962.03796,544.28149
982,1.2627292,3695.7373,879.09583,444.62137
983,1.2614446,3633.6506,745.87427,355.02618
984,1.2601626,3474.2502,593.42749,356.95108
985,1.2588832,3303.0083,508.48926,468.98724
986,1.2576065,3269.915,596.15173,650.05225
987,1.2563323,3418.9304,845.79443,814.55273
988,1.2550607,3612.0322,1092.4175,874.44977
989,1.2537917,3677.4541,1163.293,798.1842
990,1.2525252,3599.7959,1045.9948,631.60962
991,1.2512614,3495.3193,875.85748,454.52118
992,1.25,3420.9797,763.2179,314.9245
993,1.2487411,3304.0938,679.45068,213.5101
994,1.2474849,3095.9961,541.51953,148.05984
995,1.2462312,2904.2983,358.65607,135.11954
996,1.24498,2873.9802,222.70892,163.24989
997,1.2437311,2980.7744,177.55498,160.36079
998,1.2424849,3059.5591,184.05853,58.678917
999,1.2412412,3030.6675,211.338,-108.86545
1000,1.24,2980.9521,271.25562,-222.64343
1001,1.2387612,3011.2188,348.87512,-199.717
1002,1.237525,3128.9341,395.42731,-65.459732
1003,1.2362912,3321.4106,416.65369,100.83768
1004,1.2350597,3608.4785,483.34314,243.75995
1005,1.2338308,3955.4956,630.30054,342.59534
1006,1.2326044,4211.3521,795.78247,375.15826
1007,1.2313803,4210.6299,871.04407,299.44928
1008,1.2301587,3938.4634,801.05603,98.759476
1009,1.2289395,3568.3716,639.90582,-153.34616
1010,1.2277228,3322.8367,498.8877,-312.85492
1011,1.2265084,3297.7534,452.66461,-272.2814
1012,1.2252965,3426.782,511.26804,-42.034405
1013,1.2240869,3600.2166,645.00928,265.69778
1014,1.2228796,3782.8289,797.23645,520.84607
1015,1.2216749,3995.6055,891.64978,646.64508
1016,1.2204725,4216.6641,880.23999,633.47095
1017,1.2192724,4354.0986,808.70532,523.45935
1018,1.2180747,4303.8501,778.25531,381.68896
1019,1.2168792,4004.8674,799.51099,250.62396
1020,1.2156863,3496.4155,768.76526,144.42349
1021,1.2144955,2967.2803,637.71783,91.19471
1022,1.2133073,2667.9458,490.14484,117.87254
1023,1.2121212,2704.8521,400.70935,182.97241
1024,1.2109375,2963.7273,341.33063,204.69785
1025,1.2097561,3251.5479,269.59998,168.59195
1026,1.208577,3449.2085,201.71964,135.01894
1027,1.2074002,3533.095,171.27307,146.03122
1028,1.2062256,3547.4258,205.40901,194.13181
1029,1.2050534,3577.4666,349.96143,264.01007
1030,1.2038835,3682.188,633.68372,349.1109
1031,1.2027158,3831.5234,993.10303,446.61658
1032,1.2015504,3931.01,1289.5842,554.06262
1033,1.2003872,3906.1406,1419.8335,647.61127
1034,1.1992263,3762.2871,1394.6045,680.46118
1035,1.1980677,3579.4448,1303.2872,625.66492
1036,1.1969112,3449.2983,1204.4188,494.39755
1037,1.195757,3403.6289,1079.5378,316.15732
1038,1.194605,3406.8333,923.78577,144.96518
1039,1.1934552,3419.4312,823.66492,56.853657
1040,1.1923077,3437.8228,853.40942,72.910332
1041,1.1911623,3457.0554,930.21698,122.18464
1042,1.1900192,3446.9766,888.29407,149.9348
1043,1.1888782,3423.0005,709.09546,204.5387
1044,1.1877395,3506.5327,589.8114,359.41931
1045,1.1866028,3815.8428,732.15527,620.33521
1046,1.1854684,4271.7715,1101.9847,936.68811
1047,1.1843362,4594.125,1452.4756,1217.5732
1048,1.1832061,4549.54,1565.2378,1328.6298
1049,1.1820781,4180.8301,1426.7583,1175.0125
1050,1.1809524,3764.6287,1201.0968,815.48724
1051,1.1798288,3550.5278,1076.0881,414.88156
1052,1.1787072,3562.2085,1116.8574,76.472816
1053,1.1775879,3653.7405,1231.9979,-178.28854
1054,1.1764706,3713.1155,1270.6116,-289.59875
1055,1.1753554,3771.1487,1173.2369,-187.16061
1056,1.1742424,3941.2029,1053.8802,64.134369
1057,1.1731315,4273.0513,1086.0798,294.36658
1058,1.1720227,4616.25,1244.8811,373.18457
1059,1.170916,4641.8452,1233.5237,226.75
1060,1.1698114,4149.3232,792.77051,-167.1963
1061,1.1687088,3413.5469,78.355896,-666.67322
1062,1.1676083,3052.1663,-376.98138,-955.94653
1063,1.1665099,3411.3682,-159.13692,-777.60052
1064,1.1654135,4202.1504,582.50793,-133.43291
1065,1.1643193,4847.7275,1283.7981,759.22632
1066,1.163227,5058.0894,1554.6478,1590.1102
1067,1.1621368,4976.9619,1440.4471,2021.2729
1068,1.1610487,4920.8667,1139.0796,1860.6405
1069,1.1599625,5059.0938,796.96948,1318.9146
1070,1.1588784,5219.1929,562.14771,887.57007
1071,1.1577965,5028.1025,470.10925,810.35095
1072,1.1567165,4406.0801,346.04419,902.68591
1073,1.1556385,3771.9768,86.828888,961.17212
1074,1.1545624,3550.4468,-151.68216,1029.4209
1075,1.1534884,3678.1953,-224.5321,1173.172
1076,1.1524163,3765.2852,-226.86848,1269.0303
1077,1.1513463,3552.814,-308.59692,1177.1543
1078,1.1502783,3135.4951,-400.51254,1041.2383
1079,1.1492122,2846.5354,-281.48193,1227.8125
1080,1.1481482,2937.176,133.83424,1883.4043
1081,1.147086,3360.8574,748.3175,2695.26
1082,1.1460259,3846.4902,1438.4661,3184.229
1083,1.1449677,4145.2754,2048.7905,3140.2588
1084,1.1439115,4316.1079,2389.8896,2746.2183
1085,1.1428572,4741.1587,2438.2368,2322.1406
1086,1.1418048,5549.5195,2328.9128,1922.3196
1087,1.1407543,6102.9683,2057.3022,1261.5912
1088,1.1397059,5629.9355,1503.0208,200.33961
1089,1.1386594,4417.4355,837.69354,-825.01031
1090,1.1376147,3727.8103,589.08441,-1121.1089
1091,1.136572,4367.8584,1144.4241,-440.00607
1092,1.1355312,5817.7065,2278.0288,765.61841
1093,1.1344923,6866.0459,3199.7427,1697.4326
1094,1.1334552,6787.2866,3155.4507,1815.0073
1095,1.1324201,5901.9829,2156.0251,1233.3608
1096,1.1313869,5227.5625,1073.4341,552.43579
1097,1.1303555,5535.8125,795.66467,268.73856
1098,1.1293261,6529.3345,1264.2457,367.22797
1099,1.1282984,7076.8438,1597.8901,473.38461